"id_pacco";"id_art";"id_mov";"fornitore";"area";"scaffale";"colonna";"piano";"qta";"dimensione"
2;"0AC803AE";50744;"F504383";"A";"A";"01";"2";6;"Medio"
3;"0AC803AE";50744;"F504383";"B";"A";"05";"1";50;"Medio"
4;"0AC803AE";50744;"F504383";"A";"A";"01";"2";6;"Medio"
5;"0AC803AE";50744;"F504383";"B";"A";"02";"1";6;"Medio"
6;"0AC803AE";50744;"F504383";"A";"A";"01";"2";6;"Medio"
7;"0AC803AE";50744;"F504383";"B";"A";"04";"5";7;"Medio"
8;"0AC803AE";50744;"F504383";"B";"A";"04";"5";7;"Medio"
9;"0AC803AE";50744;"F504383";"A";"A";"02";"2";5;"Grande"
10;"0AC803AE";50744;"F504383";"A";"C";"05";"1";4;"Medio"
11;"0AC803AE";50744;"F504383";"A";"A";"01";"2";6;"Medio"
12;"0AC803AE";50744;"F504383";"A";"X";"01";"1";6;"Medio"
13;"0AC803AE";50744;"F504383";"A";"X";"01";"1";6;"Medio"
16;"17301820";50744;"F504383";"A";"A";"02";"1";5;"Medio"
23;"23330043";50744;"F504383";"B";"A";"03";"2";10;"Piccolo"
24;"23330043";50744;"F504383";"B";"A";"03";"2";10;"Piccolo"
25;"23330043";50744;"F504383";"B";"A";"03";"2";10;"Piccolo"
26;"23330043";50744;"F504383";"B";"A";"03";"2";10;"Piccolo"
28;"42001225";50744;"F504383";"A";"A";"08";"1";10;"Piccolo"
29;"42001225";50744;"F504383";"A";"A";"08";"1";10;"Piccolo"
30;"42001225";50744;"F504383";"A";"A";"08";"1";10;"Piccolo"
31;"42001225";50744;"F504383";"A";"A";"08";"1";10;"Piccolo"
33;"51702271";50744;"F504383";"A";"B";"05";"2";10;"Piccolo"
34;"51702271";50744;"F504383";"A";"B";"05";"2";10;"Piccolo"
35;"51702271";50744;"F504383";"A";"B";"05";"2";10;"Piccolo"
36;"51702271";50744;"F504383";"A";"B";"05";"2";10;"Piccolo"
38;"54476096";50744;"F504383";"B";"A";"02";"1";10;"Piccolo"
39;"54476096";50744;"F504383";"B";"A";"02";"1";10;"Piccolo"
40;"54476096";50744;"F504383";"B";"A";"02";"1";10;"Piccolo"
