"area";"scaffale";"colonna";"piano";"fornitore_preferito";"volume_libero"
"A";"A";"01";"1";"";10
"A";"A";"01";"2";"";3509105
"A";"A";"01";"3";"";3510000
"A";"A";"01";"4";"";3510000
"A";"A";"02";"1";"";3509978
"A";"A";"02";"2";"";3509950
"A";"A";"02";"3";"";3510000
"A";"A";"02";"4";"";3510000
"A";"A";"03";"1";"";3509995
"A";"A";"03";"2";"";3510000
"A";"A";"03";"3";"";3510000
"A";"A";"03";"4";"";3510000
"A";"A";"04";"1";"";3509992
"A";"A";"04";"2";"";3510000
"A";"A";"04";"3";"";3510000
"A";"A";"04";"4";"F504383";3509972
"A";"A";"05";"1";"F504383";3510000
"A";"A";"05";"2";"F504383";3510000
"A";"A";"05";"3";"F504383";3510000
"A";"A";"05";"4";"";3510000
"A";"A";"06";"1";"";3510000
"A";"A";"06";"2";"";3510000
"A";"A";"06";"3";"";3510000
"A";"A";"06";"4";"F504383";3510000
"A";"A";"07";"1";"F504383";3510000
"A";"A";"07";"2";"F504383";3510000
"A";"A";"07";"3";"F504383";3510000
"A";"A";"07";"4";"F504383";3510000
"A";"A";"08";"1";"";3509996
"A";"A";"08";"2";"";3510000
"A";"A";"08";"3";"";3510000
"A";"A";"08";"4";"";3510000
"A";"B";"01";"1";"";3510000
"A";"B";"01";"2";"";3510000
"A";"B";"01";"3";"";3510000
"A";"B";"01";"4";"";3509995
"A";"B";"02";"1";"";3510000
"A";"B";"02";"2";"";3510000
"A";"B";"02";"3";"";3510000
"A";"B";"02";"4";"";3509995
"A";"B";"03";"1";"";3510000
"A";"B";"03";"2";"";3510000
"A";"B";"03";"3";"";3510000
"A";"B";"03";"4";"";3509995
"A";"B";"04";"1";"";3510000
"A";"B";"04";"2";"";3510000
"A";"B";"04";"3";"";3510000
"A";"B";"04";"4";"";3509985
"A";"B";"05";"1";"";3510000
"A";"B";"05";"2";"";3509996
"A";"B";"05";"3";"";3510000
"A";"B";"05";"4";"";3509995
"A";"B";"06";"1";"";3510000
"A";"B";"06";"2";"";3510000
"A";"B";"06";"3";"";3510000
"A";"B";"06";"4";"";3510000
"A";"B";"07";"1";"";3509980
"A";"B";"07";"2";"";3510000
"A";"B";"07";"3";"";3510000
"A";"B";"07";"4";"";3510000
"A";"C";"";"";"";3510000
"A";"C";"01";"1";"";3510000
"A";"C";"01";"2";"";3510000
"A";"C";"01";"3";"";3510000
"A";"C";"01";"4";"";3510000
"A";"C";"01";"5";"";3510000
"A";"C";"02";"1";"";3510000
"A";"C";"02";"2";"";3510000
"A";"C";"02";"3";"";3509990
"A";"C";"02";"4";"";3510000
"A";"C";"02";"5";"";3510000
"A";"C";"03";"1";"";3510000
"A";"C";"03";"2";"";3509996
"A";"C";"03";"3";"";3509970
"A";"C";"03";"4";"";3510000
"A";"C";"03";"5";"";3510000
"A";"C";"04";"1";"";3510000
"A";"C";"04";"2";"";3510000
"A";"C";"04";"3";"";3510000
"A";"C";"04";"4";"";3509970
"A";"C";"04";"5";"";3510000
"A";"C";"05";"1";"";3509998
"A";"C";"05";"2";"";3510000
"A";"C";"05";"3";"";3510000
"A";"C";"05";"4";"";3510000
"A";"C";"05";"5";"";3509985
"A";"C";"06";"1";"";3510000
"A";"C";"06";"2";"";3510000
"A";"C";"06";"3";"";3510000
"A";"C";"06";"4";"";3510000
"A";"C";"06";"5";"";3509995
"A";"C";"07";"1";"";3509973
"A";"C";"07";"2";"";3510000
"A";"C";"07";"3";"";3510000
"A";"C";"07";"4";"";3510000
"A";"C";"07";"5";"";3510000
"A";"D";"01";"1";"";3509985
"A";"D";"01";"2";"";3510000
"A";"D";"01";"3";"";3510000
"A";"D";"01";"4";"";3510000
"A";"D";"01";"5";"";3510000
